,Bleaching,Threshold,num_bits_addr,accuracy
1006,True,140,36,0.75
1007,True,145,36,0.73
1008,True,10,37,0.54
1009,True,15,37,0.63
1010,True,20,37,0.73
1011,True,25,37,0.75
1012,True,30,37,0.74
1013,True,35,37,0.7
1014,True,40,37,0.74
1015,True,45,37,0.77
1016,True,50,37,0.75
1017,True,55,37,0.75
1018,True,60,37,0.7
1019,True,65,37,0.74
1020,True,70,37,0.72
1021,True,75,37,0.74
1022,True,80,37,0.76
1023,True,85,37,0.77
1024,True,90,37,0.74
1025,True,95,37,0.75
1026,True,100,37,0.75
1027,True,105,37,0.73
1028,True,110,37,0.73
1029,True,115,37,0.75
1030,True,120,37,0.75
1031,True,125,37,0.75
1032,True,130,37,0.73
1033,True,135,37,0.73
1034,True,140,37,0.76
1035,True,145,37,0.72
1036,True,10,38,0.56
1037,True,15,38,0.65
1038,True,20,38,0.74
1039,True,25,38,0.77
1040,True,30,38,0.79
1041,True,35,38,0.8
1042,True,40,38,0.79
1043,True,45,38,0.79
1044,True,50,38,0.75
1045,True,55,38,0.7
1046,True,60,38,0.71
1047,True,65,38,0.73
1048,True,70,38,0.74
1049,True,75,38,0.77
1050,True,80,38,0.73
1051,True,85,38,0.7
1052,True,90,38,0.68
1053,True,95,38,0.69
1054,True,100,38,0.7
1055,True,105,38,0.7
1056,True,110,38,0.69
1057,True,115,38,0.69
1058,True,120,38,0.75
1059,True,125,38,0.71
1060,True,130,38,0.72
1061,True,135,38,0.72
1062,True,140,38,0.72
1063,True,145,38,0.73
1064,True,10,39,0.45
1065,True,15,39,0.65
1066,True,20,39,0.76
1067,True,25,39,0.77
1068,True,30,39,0.79
1069,True,35,39,0.78
1070,True,40,39,0.74
1071,True,45,39,0.7
1072,True,50,39,0.7
1073,True,55,39,0.7
1074,True,60,39,0.7
1075,True,65,39,0.73
1076,True,70,39,0.71
1077,True,75,39,0.7
1078,True,80,39,0.73
1079,True,85,39,0.69
1080,True,90,39,0.73
1081,True,95,39,0.72
1082,True,100,39,0.72
1083,True,105,39,0.75
1084,True,110,39,0.76
1085,True,115,39,0.74
1086,True,120,39,0.77
1087,True,125,39,0.77
1088,True,130,39,0.73
1089,True,135,39,0.7
1090,True,140,39,0.71
1091,True,145,39,0.71
1092,True,10,40,0.53
1093,True,15,40,0.67
1094,True,20,40,0.72
1095,True,25,40,0.75
1096,True,30,40,0.75
1097,True,35,40,0.75
1098,True,40,40,0.76
1099,True,45,40,0.73
1100,True,50,40,0.67
1101,True,55,40,0.67
1102,True,60,40,0.69
1103,True,65,40,0.7
1104,True,70,40,0.69
1105,True,75,40,0.66
1106,True,80,40,0.66
1107,True,85,40,0.66
1108,True,90,40,0.67
1109,True,95,40,0.67
1110,True,100,40,0.69
1111,True,105,40,0.7
1112,True,110,40,0.68
1113,True,115,40,0.66
1114,True,120,40,0.7
1115,True,125,40,0.68
1116,True,130,40,0.68
1117,True,135,40,0.65
1118,True,140,40,0.69
1119,True,145,40,0.73
1120,True,10,41,0.52
1121,True,15,41,0.64
1122,True,20,41,0.76
1123,True,25,41,0.72
1124,True,30,41,0.77
1125,True,35,41,0.74
1126,True,40,41,0.75
1127,True,45,41,0.75
1128,True,50,41,0.73
1129,True,55,41,0.71
1130,True,60,41,0.73
1131,True,65,41,0.74
1132,True,70,41,0.69
1133,True,75,41,0.71
1134,True,80,41,0.69
1135,True,85,41,0.69
1136,True,90,41,0.72
1137,True,95,41,0.72
1138,True,100,41,0.72
1139,True,105,41,0.72
1140,True,110,41,0.71
1141,True,115,41,0.72
1142,True,120,41,0.74
1143,True,125,41,0.75
